Iter,Time,S,E,I,R
0,0.0,90.0,10.0,0.0,0.0
1,1.0,90.0,9.0,1.0,0.0
2,2.0,90.0,8.0,2.0,0.0
3,3.0,90.0,7.0,3.0,0.0
4,4.0,89.0,8.0,3.0,0.0
5,5.0,89.0,7.0,4.0,0.0
6,6.0,89.0,7.0,3.0,1.0
7,7.0,89.0,6.0,4.0,1.0
8,8.0,88.0,7.0,4.0,1.0
9,9.0,88.0,6.0,5.0,1.0
10,10.0,88.0,5.0,6.0,1.0
11,11.0,88.0,4.0,7.0,1.0
12,12.0,88.0,4.0,6.0,2.0
13,13.0,88.0,3.0,7.0,2.0
14,14.0,88.0,3.0,6.0,3.0
15,15.0,87.0,4.0,6.0,3.0
16,16.0,86.0,5.0,6.0,3.0
17,17.0,86.0,4.0,7.0,3.0
18,18.0,85.0,5.0,7.0,3.0
19,19.0,84.0,6.0,7.0,3.0
20,20.0,83.0,7.0,7.0,3.0
21,21.0,82.0,8.0,7.0,3.0
22,22.0,81.0,9.0,7.0,3.0
23,23.0,80.0,10.0,7.0,3.0
24,24.0,80.0,9.0,8.0,3.0
25,25.0,79.0,10.0,8.0,3.0
26,26.0,78.0,11.0,8.0,3.0
27,27.0,78.0,11.0,7.0,4.0
28,28.0,78.0,10.0,8.0,4.0
29,29.0,77.0,11.0,8.0,4.0
30,30.0,76.0,12.0,8.0,4.0
31,31.0,76.0,12.0,7.0,5.0
32,32.0,76.0,12.0,6.0,6.0
33,33.0,76.0,11.0,7.0,6.0
34,34.0,76.0,10.0,8.0,6.0
35,35.0,76.0,10.0,7.0,7.0
36,36.0,76.0,9.0,8.0,7.0
37,37.0,76.0,9.0,7.0,8.0
38,38.0,76.0,8.0,8.0,8.0
39,39.0,76.0,8.0,7.0,9.0
40,40.0,75.0,9.0,7.0,9.0
41,41.0,75.0,8.0,8.0,9.0
42,42.0,75.0,8.0,7.0,10.0
43,43.0,74.0,9.0,7.0,10.0
44,44.0,74.0,8.0,8.0,10.0
45,45.0,73.0,9.0,8.0,10.0
46,46.0,72.0,10.0,8.0,10.0
47,47.0,72.0,10.0,7.0,11.0
48,48.0,72.0,9.0,8.0,11.0
49,49.0,72.0,9.0,7.0,12.0
50,50.0,72.0,8.0,8.0,12.0
51,51.0,71.0,9.0,8.0,12.0
52,52.0,71.0,8.0,9.0,12.0
53,53.0,71.0,7.0,10.0,12.0
54,54.0,71.0,6.0,11.0,12.0
55,55.0,70.0,7.0,11.0,12.0
56,56.0,70.0,6.0,12.0,12.0
57,57.0,70.0,6.0,11.0,13.0
58,58.0,70.0,6.0,10.0,14.0
59,59.0,69.0,7.0,10.0,14.0
60,60.0,68.0,8.0,10.0,14.0
61,61.0,67.0,9.0,10.0,14.0
62,62.0,67.0,9.0,9.0,15.0
63,63.0,66.0,10.0,9.0,15.0
64,64.0,65.0,11.0,9.0,15.0
65,65.0,64.0,12.0,9.0,15.0
66,66.0,64.0,11.0,10.0,15.0
67,67.0,64.0,10.0,11.0,15.0
68,68.0,63.0,11.0,11.0,15.0
69,69.0,63.0,10.0,12.0,15.0
70,70.0,62.0,11.0,12.0,15.0
71,71.0,62.0,11.0,11.0,16.0
72,72.0,62.0,10.0,12.0,16.0
73,73.0,62.0,10.0,11.0,17.0
74,74.0,62.0,9.0,12.0,17.0
75,75.0,61.0,10.0,12.0,17.0
76,76.0,61.0,10.0,11.0,18.0
77,77.0,61.0,10.0,10.0,19.0
78,78.0,60.0,11.0,10.0,19.0
79,79.0,60.0,11.0,9.0,20.0
80,80.0,60.0,10.0,10.0,20.0
81,81.0,60.0,9.0,11.0,20.0
82,82.0,60.0,9.0,10.0,21.0
83,83.0,60.0,9.0,9.0,22.0
84,84.0,60.0,8.0,10.0,22.0
85,85.0,60.0,8.0,9.0,23.0
86,86.0,60.0,7.0,10.0,23.0
87,87.0,60.0,7.0,9.0,24.0
88,88.0,59.0,8.0,9.0,24.0
89,89.0,59.0,8.0,8.0,25.0
90,90.0,59.0,7.0,9.0,25.0
91,91.0,59.0,6.0,10.0,25.0
92,92.0,59.0,6.0,9.0,26.0
93,93.0,59.0,5.0,10.0,26.0
94,94.0,59.0,5.0,9.0,27.0
95,95.0,58.0,6.0,9.0,27.0
96,96.0,57.0,7.0,9.0,27.0
97,97.0,57.0,7.0,8.0,28.0
98,98.0,57.0,7.0,7.0,29.0
99,99.0,57.0,6.0,8.0,29.0
100,100.0,57.0,5.0,9.0,29.0
101,101.0,57.0,4.0,10.0,29.0
102,102.0,57.0,3.0,11.0,29.0
103,103.0,57.0,2.0,12.0,29.0
104,104.0,57.0,2.0,11.0,30.0
105,105.0,56.0,3.0,11.0,30.0
106,106.0,56.0,3.0,10.0,31.0
107,107.0,55.0,4.0,10.0,31.0
108,108.0,55.0,3.0,11.0,31.0
109,109.0,55.0,2.0,12.0,31.0
110,110.0,55.0,2.0,11.0,32.0
111,111.0,54.0,3.0,11.0,32.0
112,112.0,54.0,3.0,10.0,33.0
113,113.0,54.0,3.0,9.0,34.0
114,114.0,54.0,2.0,10.0,34.0
115,115.0,54.0,2.0,9.0,35.0
116,116.0,53.0,3.0,9.0,35.0
117,117.0,53.0,3.0,8.0,36.0
118,118.0,53.0,3.0,7.0,37.0
119,119.0,52.0,4.0,7.0,37.0
120,120.0,52.0,4.0,6.0,38.0
121,121.0,52.0,4.0,5.0,39.0
122,122.0,52.0,4.0,4.0,40.0
123,123.0,52.0,3.0,5.0,40.0
124,124.0,52.0,3.0,4.0,41.0
125,125.0,51.0,4.0,4.0,41.0
126,126.0,50.0,5.0,4.0,41.0
127,127.0,50.0,4.0,5.0,41.0
128,128.0,50.0,4.0,4.0,42.0
129,129.0,50.0,3.0,5.0,42.0
130,130.0,49.0,4.0,5.0,42.0
131,131.0,49.0,4.0,4.0,43.0
132,132.0,48.0,5.0,4.0,43.0
133,133.0,48.0,4.0,5.0,43.0
134,134.0,47.0,5.0,5.0,43.0
135,135.0,46.0,6.0,5.0,43.0
136,136.0,46.0,6.0,4.0,44.0
137,137.0,45.0,7.0,4.0,44.0
138,138.0,45.0,6.0,5.0,44.0
139,139.0,44.0,7.0,5.0,44.0
140,140.0,44.0,7.0,4.0,45.0
141,141.0,44.0,6.0,5.0,45.0
142,142.0,44.0,5.0,6.0,45.0
143,143.0,43.0,6.0,6.0,45.0
144,144.0,43.0,6.0,5.0,46.0
145,145.0,43.0,5.0,6.0,46.0
146,146.0,43.0,5.0,5.0,47.0
147,147.0,43.0,4.0,6.0,47.0
148,148.0,42.0,5.0,6.0,47.0
149,149.0,42.0,5.0,5.0,48.0
150,150.0,42.0,4.0,6.0,48.0
151,151.0,42.0,3.0,7.0,48.0
152,152.0,42.0,3.0,6.0,49.0
153,153.0,42.0,3.0,5.0,50.0
154,154.0,42.0,3.0,4.0,51.0
155,155.0,41.0,4.0,4.0,51.0
156,156.0,40.0,5.0,4.0,51.0
157,157.0,40.0,4.0,5.0,51.0
158,158.0,40.0,4.0,4.0,52.0
159,159.0,40.0,3.0,5.0,52.0
160,160.0,39.0,4.0,5.0,52.0
161,161.0,39.0,3.0,6.0,52.0
162,162.0,39.0,3.0,5.0,53.0
163,163.0,39.0,3.0,4.0,54.0
164,164.0,39.0,2.0,5.0,54.0
165,165.0,38.0,3.0,5.0,54.0
166,166.0,38.0,3.0,4.0,55.0
167,167.0,38.0,3.0,3.0,56.0
168,168.0,37.0,4.0,3.0,56.0
169,169.0,36.0,5.0,3.0,56.0
170,170.0,36.0,4.0,4.0,56.0
171,171.0,36.0,3.0,5.0,56.0
172,172.0,35.0,4.0,5.0,56.0
173,173.0,35.0,3.0,6.0,56.0
174,174.0,35.0,3.0,5.0,57.0
175,175.0,35.0,2.0,6.0,57.0
176,176.0,34.0,3.0,6.0,57.0
177,177.0,33.0,4.0,6.0,57.0
178,178.0,32.0,5.0,6.0,57.0
179,179.0,32.0,5.0,5.0,58.0
180,180.0,32.0,4.0,6.0,58.0
181,181.0,32.0,4.0,5.0,59.0
182,182.0,32.0,3.0,6.0,59.0
183,183.0,32.0,3.0,5.0,60.0
184,184.0,32.0,2.0,6.0,60.0
185,185.0,32.0,2.0,5.0,61.0
186,186.0,32.0,2.0,4.0,62.0
187,187.0,32.0,1.0,5.0,62.0
188,188.0,31.0,2.0,5.0,62.0
189,189.0,30.0,3.0,5.0,62.0
190,190.0,30.0,2.0,6.0,62.0
191,191.0,30.0,1.0,7.0,62.0
192,192.0,29.0,2.0,7.0,62.0
193,193.0,29.0,2.0,6.0,63.0
194,194.0,29.0,2.0,5.0,64.0
195,195.0,29.0,1.0,6.0,64.0
196,196.0,28.0,2.0,6.0,64.0
197,197.0,28.0,2.0,5.0,65.0
198,198.0,28.0,2.0,4.0,66.0
199,199.0,28.0,2.0,3.0,67.0
