Iter,Time,S,E,I,R
0,0.0,90.0,10.0,0.0,0.0
1,1.0,90.0,9.0,1.0,0.0
2,2.0,90.0,8.0,2.0,0.0
3,3.0,89.0,9.0,2.0,0.0
4,4.0,89.0,9.0,1.0,1.0
5,5.0,88.0,10.0,1.0,1.0
6,6.0,88.0,9.0,2.0,1.0
7,7.0,88.0,9.0,1.0,2.0
8,8.0,88.0,8.0,2.0,2.0
9,9.0,88.0,7.0,3.0,2.0
10,10.0,87.0,8.0,3.0,2.0
11,11.0,86.0,9.0,3.0,2.0
12,12.0,85.0,10.0,3.0,2.0
13,13.0,85.0,9.0,4.0,2.0
14,14.0,85.0,8.0,5.0,2.0
15,15.0,85.0,7.0,6.0,2.0
16,16.0,85.0,6.0,7.0,2.0
17,17.0,84.0,7.0,7.0,2.0
18,18.0,83.0,8.0,7.0,2.0
19,19.0,83.0,7.0,8.0,2.0
20,20.0,82.0,8.0,8.0,2.0
21,21.0,82.0,8.0,7.0,3.0
22,22.0,82.0,8.0,6.0,4.0
23,23.0,82.0,7.0,7.0,4.0
24,24.0,81.0,8.0,7.0,4.0
25,25.0,81.0,7.0,8.0,4.0
26,26.0,81.0,6.0,9.0,4.0
27,27.0,80.0,7.0,9.0,4.0
28,28.0,79.0,8.0,9.0,4.0
29,29.0,79.0,7.0,10.0,4.0
30,30.0,78.0,8.0,10.0,4.0
31,31.0,77.0,9.0,10.0,4.0
32,32.0,77.0,9.0,9.0,5.0
33,33.0,76.0,10.0,9.0,5.0
34,34.0,76.0,9.0,10.0,5.0
35,35.0,76.0,9.0,9.0,6.0
36,36.0,75.0,10.0,9.0,6.0
37,37.0,75.0,9.0,10.0,6.0
38,38.0,75.0,9.0,9.0,7.0
39,39.0,74.0,10.0,9.0,7.0
40,40.0,74.0,10.0,8.0,8.0
41,41.0,74.0,9.0,9.0,8.0
42,42.0,74.0,8.0,10.0,8.0
43,43.0,73.0,9.0,10.0,8.0
44,44.0,73.0,8.0,11.0,8.0
45,45.0,73.0,8.0,10.0,9.0
46,46.0,73.0,8.0,9.0,10.0
47,47.0,72.0,9.0,9.0,10.0
48,48.0,72.0,8.0,10.0,10.0
49,49.0,72.0,7.0,11.0,10.0
50,50.0,71.0,8.0,11.0,10.0
51,51.0,70.0,9.0,11.0,10.0
52,52.0,70.0,9.0,10.0,11.0
53,53.0,70.0,8.0,11.0,11.0
54,54.0,70.0,8.0,10.0,12.0
55,55.0,69.0,9.0,10.0,12.0
56,56.0,69.0,8.0,11.0,12.0
57,57.0,68.0,9.0,11.0,12.0
58,58.0,68.0,9.0,10.0,13.0
59,59.0,68.0,8.0,11.0,13.0
60,60.0,67.0,9.0,11.0,13.0
61,61.0,66.0,10.0,11.0,13.0
62,62.0,65.0,11.0,11.0,13.0
63,63.0,65.0,10.0,12.0,13.0
64,64.0,65.0,10.0,11.0,14.0
65,65.0,64.0,11.0,11.0,14.0
66,66.0,64.0,10.0,12.0,14.0
67,67.0,63.0,11.0,12.0,14.0
68,68.0,62.0,12.0,12.0,14.0
69,69.0,61.0,13.0,12.0,14.0
70,70.0,61.0,13.0,11.0,15.0
71,71.0,61.0,12.0,12.0,15.0
72,72.0,61.0,12.0,11.0,16.0
73,73.0,61.0,11.0,12.0,16.0
74,74.0,60.0,12.0,12.0,16.0
75,75.0,60.0,12.0,11.0,17.0
76,76.0,59.0,13.0,11.0,17.0
77,77.0,58.0,14.0,11.0,17.0
78,78.0,58.0,13.0,12.0,17.0
79,79.0,57.0,14.0,12.0,17.0
80,80.0,56.0,15.0,12.0,17.0
81,81.0,55.0,16.0,12.0,17.0
82,82.0,55.0,15.0,13.0,17.0
83,83.0,54.0,16.0,13.0,17.0
84,84.0,54.0,15.0,14.0,17.0
85,85.0,54.0,14.0,15.0,17.0
86,86.0,53.0,15.0,15.0,17.0
87,87.0,53.0,14.0,16.0,17.0
88,88.0,52.0,15.0,16.0,17.0
89,89.0,51.0,16.0,16.0,17.0
90,90.0,51.0,15.0,17.0,17.0
91,91.0,51.0,15.0,16.0,18.0
92,92.0,50.0,16.0,16.0,18.0
93,93.0,49.0,17.0,16.0,18.0
94,94.0,49.0,16.0,17.0,18.0
95,95.0,48.0,17.0,17.0,18.0
96,96.0,47.0,18.0,17.0,18.0
97,97.0,47.0,17.0,18.0,18.0
98,98.0,46.0,18.0,18.0,18.0
99,99.0,46.0,17.0,19.0,18.0
100,100.0,46.0,17.0,18.0,19.0
101,101.0,46.0,17.0,17.0,20.0
102,102.0,45.0,18.0,17.0,20.0
103,103.0,45.0,18.0,16.0,21.0
104,104.0,45.0,17.0,17.0,21.0
105,105.0,45.0,17.0,16.0,22.0
106,106.0,45.0,16.0,17.0,22.0
107,107.0,45.0,16.0,16.0,23.0
108,108.0,45.0,16.0,15.0,24.0
109,109.0,45.0,16.0,14.0,25.0
110,110.0,45.0,16.0,13.0,26.0
111,111.0,45.0,16.0,12.0,27.0
112,112.0,45.0,15.0,13.0,27.0
113,113.0,45.0,15.0,12.0,28.0
114,114.0,45.0,15.0,11.0,29.0
115,115.0,45.0,15.0,10.0,30.0
116,116.0,45.0,14.0,11.0,30.0
117,117.0,45.0,13.0,12.0,30.0
118,118.0,45.0,13.0,11.0,31.0
119,119.0,44.0,14.0,11.0,31.0
120,120.0,44.0,14.0,10.0,32.0
121,121.0,44.0,13.0,11.0,32.0
122,122.0,43.0,14.0,11.0,32.0
123,123.0,43.0,14.0,10.0,33.0
124,124.0,43.0,13.0,11.0,33.0
125,125.0,43.0,12.0,12.0,33.0
126,126.0,42.0,13.0,12.0,33.0
127,127.0,42.0,12.0,13.0,33.0
128,128.0,41.0,13.0,13.0,33.0
129,129.0,41.0,13.0,12.0,34.0
130,130.0,41.0,12.0,13.0,34.0
131,131.0,41.0,11.0,14.0,34.0
132,132.0,41.0,11.0,13.0,35.0
133,133.0,40.0,12.0,13.0,35.0
134,134.0,40.0,11.0,14.0,35.0
135,135.0,40.0,10.0,15.0,35.0
136,136.0,40.0,10.0,14.0,36.0
137,137.0,39.0,11.0,14.0,36.0
138,138.0,38.0,12.0,14.0,36.0
139,139.0,38.0,12.0,13.0,37.0
140,140.0,37.0,13.0,13.0,37.0
141,141.0,37.0,13.0,12.0,38.0
142,142.0,37.0,12.0,13.0,38.0
143,143.0,37.0,12.0,12.0,39.0
144,144.0,37.0,11.0,13.0,39.0
145,145.0,37.0,10.0,14.0,39.0
146,146.0,37.0,9.0,15.0,39.0
147,147.0,36.0,10.0,15.0,39.0
148,148.0,36.0,10.0,14.0,40.0
149,149.0,36.0,10.0,13.0,41.0
150,150.0,35.0,11.0,13.0,41.0
151,151.0,35.0,11.0,12.0,42.0
152,152.0,35.0,11.0,11.0,43.0
153,153.0,35.0,10.0,12.0,43.0
154,154.0,35.0,9.0,13.0,43.0
155,155.0,35.0,8.0,14.0,43.0
156,156.0,34.0,9.0,14.0,43.0
157,157.0,34.0,9.0,13.0,44.0
158,158.0,34.0,9.0,12.0,45.0
159,159.0,34.0,8.0,13.0,45.0
160,160.0,34.0,7.0,14.0,45.0
161,161.0,34.0,6.0,15.0,45.0
162,162.0,34.0,5.0,16.0,45.0
163,163.0,34.0,5.0,15.0,46.0
164,164.0,33.0,6.0,15.0,46.0
165,165.0,33.0,6.0,14.0,47.0
166,166.0,33.0,6.0,13.0,48.0
167,167.0,33.0,5.0,14.0,48.0
168,168.0,33.0,5.0,13.0,49.0
169,169.0,32.0,6.0,13.0,49.0
170,170.0,31.0,7.0,13.0,49.0
171,171.0,31.0,6.0,14.0,49.0
172,172.0,31.0,6.0,13.0,50.0
173,173.0,30.0,7.0,13.0,50.0
174,174.0,29.0,8.0,13.0,50.0
175,175.0,29.0,7.0,14.0,50.0
176,176.0,28.0,8.0,14.0,50.0
177,177.0,28.0,7.0,15.0,50.0
178,178.0,28.0,7.0,14.0,51.0
179,179.0,28.0,7.0,13.0,52.0
180,180.0,28.0,7.0,12.0,53.0
181,181.0,28.0,6.0,13.0,53.0
182,182.0,28.0,5.0,14.0,53.0
183,183.0,27.0,6.0,14.0,53.0
184,184.0,27.0,5.0,15.0,53.0
185,185.0,27.0,5.0,14.0,54.0
186,186.0,26.0,6.0,14.0,54.0
187,187.0,26.0,5.0,15.0,54.0
188,188.0,26.0,5.0,14.0,55.0
189,189.0,26.0,5.0,13.0,56.0
190,190.0,25.0,6.0,13.0,56.0
191,191.0,25.0,6.0,12.0,57.0
192,192.0,24.0,7.0,12.0,57.0
193,193.0,23.0,8.0,12.0,57.0
194,194.0,23.0,8.0,11.0,58.0
195,195.0,23.0,7.0,12.0,58.0
196,196.0,23.0,6.0,13.0,58.0
197,197.0,23.0,6.0,12.0,59.0
198,198.0,23.0,6.0,11.0,60.0
199,199.0,23.0,6.0,10.0,61.0
